[  490.012703] loop_size:154 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.013423] loop_size:155 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.014142] loop_size:156 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.014864] loop_size:157 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.015586] loop_size:158 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.016306] loop_size:159 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.017027] loop_size:160 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.017747] loop_size:161 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.018468] loop_size:162 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.019200] loop_size:163 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.019922] loop_size:164 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.020642] loop_size:165 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.021364] loop_size:166 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.022086] loop_size:167 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.022814] loop_size:168 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.023535] loop_size:169 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.024256] loop_size:170 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.024976] loop_size:171 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.025697] loop_size:172 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.026418] loop_size:173 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.027150] loop_size:174 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.027873] loop_size:175 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.028594] loop_size:176 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.029308] loop_size:177 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.030023] loop_size:178 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.030751] loop_size:179 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.031473] loop_size:180 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.032193] loop_size:181 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.032915] loop_size:182 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.033635] loop_size:183 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.034355] loop_size:184 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.035088] loop_size:185 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.035811] loop_size:186 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.036531] loop_size:187 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.037251] loop_size:188 >>>> variance(cycles): 2; max_deviation: 52; min time: 44
[  490.037965] loop_size:189 >>>> variance(cycles): 2; max_deviation: 52; min time: 44
[  490.038689] loop_size:190 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.039415] loop_size:191 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.040138] loop_size:192 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.040859] loop_size:193 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.041581] loop_size:194 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.042301] loop_size:195 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.043024] loop_size:196 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.043746] loop_size:197 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.044466] loop_size:198 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.045187] loop_size:199 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.045909] loop_size:200 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.046639] loop_size:201 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.047362] loop_size:202 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.048084] loop_size:203 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.048807] loop_size:204 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.049528] loop_size:205 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.050249] loop_size:206 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.050972] loop_size:207 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.051694] loop_size:208 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.052415] loop_size:209 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.053136] loop_size:210 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.053850] loop_size:211 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.054571] loop_size:212 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.055301] loop_size:213 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.056023] loop_size:214 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.056744] loop_size:215 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.057464] loop_size:216 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.058178] loop_size:217 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.058900] loop_size:218 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.059621] loop_size:219 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.060341] loop_size:220 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.061062] loop_size:221 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.061782] loop_size:222 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.062503] loop_size:223 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.063233] loop_size:224 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.063956] loop_size:225 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
