[ 1667.461485] loop_size:140 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.461856] loop_size:141 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.462228] loop_size:142 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.462598] loop_size:143 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.462967] loop_size:144 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.463336] loop_size:145 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.463709] loop_size:146 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.464081] loop_size:147 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.464453] loop_size:148 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.464822] loop_size:149 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.465209] loop_size:150 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.465576] loop_size:151 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.465948] loop_size:152 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.466318] loop_size:153 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.466688] loop_size:154 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.467057] loop_size:155 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.467427] loop_size:156 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.467799] loop_size:157 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.468169] loop_size:158 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.468539] loop_size:159 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.468908] loop_size:160 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.469297] loop_size:161 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.469669] loop_size:162 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.470039] loop_size:163 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.470408] loop_size:164 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.470778] loop_size:165 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.471148] loop_size:166 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.471518] loop_size:167 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.471891] loop_size:168 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.472260] loop_size:169 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.472631] loop_size:170 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.472999] loop_size:171 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.473383] loop_size:172 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.473753] loop_size:173 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.474125] loop_size:174 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.474494] loop_size:175 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.474860] loop_size:176 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.475229] loop_size:177 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[ 1667.475602] loop_size:178 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.475974] loop_size:179 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.476346] loop_size:180 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.476713] loop_size:181 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.477098] loop_size:182 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.477467] loop_size:183 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.477837] loop_size:184 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.478206] loop_size:185 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.478575] loop_size:186 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.478941] loop_size:187 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.479313] loop_size:188 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.479685] loop_size:189 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.480057] loop_size:190 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.480426] loop_size:191 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.480796] loop_size:192 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.481177] loop_size:193 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.481549] loop_size:194 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.481918] loop_size:195 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.482287] loop_size:196 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.482657] loop_size:197 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.483026] loop_size:198 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.483396] loop_size:199 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.483769] loop_size:200 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.484142] loop_size:201 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.484511] loop_size:202 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.484880] loop_size:203 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.485266] loop_size:204 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.485636] loop_size:205 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.486008] loop_size:206 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.486377] loop_size:207 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.486747] loop_size:208 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.487112] loop_size:209 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.487482] loop_size:210 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.487855] loop_size:211 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.488224] loop_size:212 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.488593] loop_size:213 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.488962] loop_size:214 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.489349] loop_size:215 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.489720] loop_size:216 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.490091] loop_size:217 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.490462] loop_size:218 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.490830] loop_size:219 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.491203] loop_size:220 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.491573] loop_size:221 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.491945] loop_size:222 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.492314] loop_size:223 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.492682] loop_size:224 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.493067] loop_size:225 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.493440] loop_size:226 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.493812] loop_size:227 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.494183] loop_size:228 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.494552] loop_size:229 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.494921] loop_size:230 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.495290] loop_size:231 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.495662] loop_size:232 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.496032] loop_size:233 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.496401] loop_size:234 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.496771] loop_size:235 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.497154] loop_size:236 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.497525] loop_size:237 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[ 1667.497896] loop_size:238 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.498268] loop_size:239 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.498639] loop_size:240 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
