[  119.241871] loop_size:122 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.242239] loop_size:123 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.242609] loop_size:124 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.242977] loop_size:125 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.243349] loop_size:126 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.243720] loop_size:127 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.244094] loop_size:128 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.244464] loop_size:129 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.244833] loop_size:130 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.245202] loop_size:131 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.245587] loop_size:132 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.245959] loop_size:133 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.246330] loop_size:134 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.246699] loop_size:135 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.247069] loop_size:136 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.247438] loop_size:137 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.247808] loop_size:138 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.248179] loop_size:139 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.248551] loop_size:140 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.248922] loop_size:141 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.249295] loop_size:142 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.249676] loop_size:143 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.250047] loop_size:144 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.250413] loop_size:145 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.250782] loop_size:146 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.251152] loop_size:147 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.251521] loop_size:148 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.251891] loop_size:149 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.252262] loop_size:150 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.252632] loop_size:151 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.253004] loop_size:152 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.253372] loop_size:153 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.253754] loop_size:154 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.254124] loop_size:155 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.254496] loop_size:156 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.254865] loop_size:157 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.255234] loop_size:158 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.255603] loop_size:159 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.255976] loop_size:160 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.256347] loop_size:161 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.256717] loop_size:162 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.257087] loop_size:163 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.257456] loop_size:164 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.257845] loop_size:165 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
